Latitude,Longitude,Change in first bloom date
43.71,-72.29,-5.725
42.94,-72.32,5.225
44.26,-71.25,-0.825
40.74,-74.35,-7.3
41.03,-74.42,-4.1
40.57,-74.88,-0.775
40.27,-74.56,-1
39.8,-74.78,-8
35.87,-103.18,1.9
32.75,-104.38,3.15
36.84,-108,-8.266666667
32.9,-107.31,-9.257142857
36.47,-104.95,-5.057142857
32.83,-108.5,-3.625
34.6,-103.22,-1.725
35.41,-104.19,2.014285714
35.86,-106.32,-12.28571429
32.95,-105.82,-7.111111111
35.2,-103.69,-5.111111111
35.95,-106.75,-4.392857143
43.22,-78.22,-0.944444444
42.31,-78.02,2.075
43.44,-75.37,2.65
42.85,-77.28,-1.05
42.72,-74.93,5.15
42.56,-77.72,-0.342857143
42.25,-74.91,4.2
42.1,-76.84,2.2
42.33,-78.46,3.375
44.35,-75.51,4.25
43.75,-74.28,-1.4
42.45,-76.45,2.425
43.79,-75.48,2.275
41.77,-74.15,-7.242857143
42.51,-75.52,-1.257142857
43.45,-76.54,-6.253968254
41.39,-74.69,4.875
40.96,-72.72,-6.208333333
35.71,-79.84,0.725
35.5,-82.6,-6.166666667
35.91,-79.08,-3.9
35.41,-80.56,-4.45
35.31,-83.17,-2
36.02,-76.55,-10.625
35.06,-78.86,-10.34285714
35.18,-83.39,-0.35
35.27,-81.14,-2.325
34.89,-79.69,-3.305555556
35.06,-83.2,4.430555556
35.97,-79.97,-9.15
36.4,-77.42,0.357142857
35.18,-79.68,-12.375
34.75,-79.47,-0.5
35.91,-81.54,0.925
35.85,-80.26,2.075
35.8,-82.67,-8.25
34.98,-80.52,-1.888888889
34.73,-76.74,2.375
35.73,-81.67,-1.263888889
36.5,-80.65,1.425
35.27,-82.65,-3.35
35.87,-76.66,-10.25
35.79,-78.7,-3.986111111
35.68,-80.48,-6.075
35.31,-81.57,-6.85
35.81,-80.88,7.625
35.88,-77.54,-4.013888889
36.4,-81.31,-0.342857143
35.21,-82.25,1.675
35.49,-82.97,1.975
35.85,-77.03,-3.875
35.69,-77.95,-4.7
46.04,-99.37,2.152777778
48.82,-100.45,-0.325
46.19,-103.37,4.5
48.92,-103.3,-1.555555556
46.16,-98.4,1.6
47.92,-97.1,1.9
46.88,-98.69,5.125
48.67,-102.1,-1.533333333
47.48,-100.45,-3.114285714
47.58,-98.64,1.275
46.39,-97.24,1.027777778
48.18,-101.3,1.975
46.51,-99.77,6.079365079
46.54,-102.87,-2.466666667
46.89,-101.49,2.775
47.52,-100.89,4.142857143
48.61,-100.73,2.285714286
40.35,-83.78,1.603174603
41.38,-83.61,-0.1
40.81,-82.97,-3.825
41.59,-81.19,2.85
39.61,-82.96,0.625
40.24,-81.87,0.3
41.28,-84.38,-2.325
41.05,-83.66,-4.75
38.82,-82.18,-1.333333333
40.1,-84.65,-7.1
39.23,-83.61,-2.2
41.31,-81.15,5.25
40.72,-84.13,-0.266666667
40.19,-83.27,-6.3
40.09,-82.41,0.175
39.73,-82.22,2.35
41.75,-81.3,-7.6
40.95,-83.96,-3.45
38.76,-82.89,0.666666667
40.1,-83.78,-1.8
40.85,-84.58,2.6
41.2,-80.81,5.2
41.52,-84.15,1.55
39.11,-82.98,-3
40.78,-81.92,-3.6
39.6,-83.91,-7.375
35.39,-99.51,-6.26984127
36.42,-97.87,-1.825
36.59,-101.62,-3.571428571
36.23,-99.17,-2.392857143
36.39,-95.06,1.833333333
45.72,-120.21,5.746031746
42.21,-122.71,-5
43.15,-124.4,-10.16666667
45.64,-121.95,-7.1
46.11,-123.21,-5.2
45.21,-123.89,-16.425
44.63,-123.19,-7
43.79,-123.03,-4.528571429
43.72,-123.06,-6.5
42.9,-122.13,-6.194444444
44.95,-123.29,-10.325
43.78,-122.96,-7.5
45.27,-122.32,-13.70833333
45.52,-123.1,-1.328571429
45.3,-121.74,-10.84126984
45.45,-122.15,-9.375
45.37,-119.56,-2.828571429
45.68,-121.52,-8.233333333
44.1,-122.69,-8.475
43.98,-117.02,-1.95
44.61,-121.95,-11.35
45.48,-120.72,-3.566666667
45.03,-123.92,-9.825
43.65,-117.25,2.65
42.73,-122.52,-12.94285714
42.95,-123.36,-18.8
44.79,-122.82,-2.873015873
45.12,-122.07,-5.542857143
43.68,-121.69,-9.396825397
41.9,-78.71,1
39.8,-79.37,-4.375
41.4,-79.83,1.597222222
40.6,-79.12,1.55
41.5,-80.47,-2.971428571
41.68,-78.8,0.8
40.12,-76.43,-4.708333333
41.42,-78.75,-0.902777778
40.06,-77.52,-0.25
41.06,-80.06,4.342857143
40.79,-77.87,-1.5
41.75,-76.44,1.428571429
41.85,-79.15,2.7
41.49,-71.54,-10.1
34.53,-82.66,-1.025
33.29,-81.03,1.444444444
34.09,-82.59,-7.325
34.7,-79.88,-2.466666667
34.68,-81.2,-3.175
33.66,-82.19,-10.16666667
34.66,-82.82,-1.975
33.99,-81.02,-5.777777778
34.3,-79.88,-2.166666667
34.5,-82.02,-1.902777778
34.2,-81.41,2.325
34.88,-82.72,0.652777778
33.99,-81.77,3.361111111
34.64,-81.52,-3.7
33.94,-80.35,7.625
34.61,-81.67,-5.025
34.75,-83.08,0.125
34.37,-81.08,-2.885714286
34.94,-81.04,-6.861111111
43.49,-99.06,-0.775
43.65,-97.8,2.875
45.53,-102.47,-5.5
45.79,-97.75,2.793650794
44.33,-96.77,1.75
43.31,-96.59,5.166666667
43.04,-96.9,4.333333333
43.96,-101.86,0.619047619
44.38,-97.55,1.416666667
45.77,-99.62,5.7
45.03,-99.12,1.347222222
44.05,-96.59,5.541666667
44.07,-98.08,-0.228571429
44.41,-103.48,-2.85
45.02,-99.94,2.033333333
43.24,-99.43,3.1
43.44,-103.47,-8.325
43.9,-99.86,-6
44.35,-103.74,-4.925
45.94,-102.16,-6.825
45.84,-101.28,-1.575
43.24,-97.57,-5.3
44.52,-98.98,2.814285714
43.89,-100.71,-2.875
44.71,-103.43,-2.1
43.19,-103.24,0.267857143
45.9,-100.29,-0.916666667
45.67,-97.04,2.180555556
45.43,-101.08,-1.8
42.99,-97.87,1.35
42.76,-96.92,-3.5
43.69,-98.67,2.708333333
43.37,-99.84,1.7
43.5,-100.48,3.75
36.38,-84.87,-8.055555556
35.59,-89.26,0.542857143
36.25,-85.95,4.425
36.55,-87.34,-2.125
36.01,-85.13,-7.111111111
36.08,-87.4,-0.728571429
35.69,-83.54,0.638888889
36.11,-82.84,3.1
35.62,-88.85,-3.680555556
36.52,-82.53,-3.875
35.41,-86.81,-3.675
36.34,-88.86,6.8
35.67,-85.78,-8.3
35.92,-86.37,5.6
35.98,-83.2,-0.575
36.42,-82.98,1.222222222
36.47,-86.84,0.025
36.39,-89.03,-3.375
35.3,-87.76,-7.325
31.74,-99.98,-0.4
30.07,-94.29,-4.375
28.46,-97.71,1.585714286
29.8,-98.74,1.8
31.14,-99.35,1.5
34.98,-101.93,1.7
32.31,-97.41,8.3
30.33,-95.48,-5.380952381
33.66,-101.28,-4.125
33.2,-97.11,3.791666667
29.47,-96.94,-2.125
32.18,-94.8,5.933333333
32.02,-97.11,2.430555556
30.71,-95.54,2
33.21,-98.17,12.16666667
33.55,-102.38,2.625
30.74,-98.65,-4.625
29.68,-97.66,0.513888889
30.94,-95.92,11.01388889
32.49,-94.33,4.875
34.73,-100.54,-2.225
30.67,-104.02,-8.571428571
34.22,-102.73,-3.975
34.19,-101.7,-8.791666667
32.45,-100.53,4.575
31.81,-95.14,2.633333333
32.71,-102.66,1.628571429
33.7,-96.64,1.6
33.15,-95.63,0.325
34.56,-101.72,-4.275
32.75,-97.77,0.533333333
32.7,-96.02,2.325
37.44,-112.48,-11.33333333
